INDIVIDUALS,POPULATION,STRATA,LOCATION,REGION,LATITUDE,LONGITUDE,STATE
F09_CC-1-C,Carter Caves,KY,KY,Interior Low Plateau,38.22027,-83.07409,KY
F09_PIN-06,The Pinnacle,VA,VA,Central Appalachian Mountains,36.575016,-82.3547,VA
F10_FCR-4,False Castle Rock,WV,WV,Central Appalachian Mountains,38.553138,-79.14252,WV
F10_LE-03,Lutzville,PA,PA,Central Appalachian Mountains,40.00842745,-78.43550965,PA
F11_FCR-12,False Castle Rock,WV,WV,Central Appalachian Mountains,38.553138,-79.14252,WV
F11_LE-12,Lutzville,PA,PA,Central Appalachian Mountains,40.00842745,-78.43550965,PA
F12_PH-5,Powers Hollow,WV,WV,Central Appalachian Mountains,37.281763,-81.33027,WV
G01_PH-14,Powers Hollow,WV,WV,Central Appalachian Mountains,37.281763,-81.33027,WV
G01_SC-07,Saint Clairesville,PA,PA,Central Appalachian Mountains,40.155985,-78.510515,PA
G02_SC-15,Saint Clairesville,PA,PA,Central Appalachian Mountains,40.155985,-78.510515,PA
G02_SELU-08,SELU,VA,VA,Central Appalachian Mountains,37.050129,-80.333659,VA
G03_KM-6,Knobbs Mountain,VA,VA,Central Appalachian Mountains,38.47285,-78.174912,VA
G03_SP-08,Shawnee State Park,PA,PA,Central Appalachian Mountains,40.0341,-78.6343,PA
G04_KM-14,Knobbs Mountain,VA,VA,Central Appalachian Mountains,38.47285,-78.174912,VA
G04_TC-AC-1,Town Creek,MD,MD,Central Appalachian Mountains,39.58903,-78.56191,MD
G05_BR-07,Blue Rock,WV,WV,Central Appalachian Mountains,38.555584,-79.131435,WV
G06_BF-P1-03,Brush Creek Falls 1,WV,WV,Central Appalachian Mountains,37.281763,-81.33027,WV
G06_BR-15,Blue Rock,WV,WV,Central Appalachian Mountains,38.555584,-79.131435,WV
G07_SH-07,Smoke Hole,WV,WV,Central Appalachian Mountains,38.545451,-79.141416,WV
G08_SH-14,Smoke Hole,WV,WV,Central Appalachian Mountains,38.545451,-79.141416,WV
G08_SLR-1-A,Sweet Lilly Ridge,KY,KY,Interior Low Plateau,36.93829774,-84.56717353,KY
G09_CC-1-D,Carter Caves,KY,KY,Interior Low Plateau,38.22027,-83.07409,KY
G09_PIN-07,The Pinnacle,VA,VA,Central Appalachian Mountains,36.575016,-82.3547,VA
G10_FCR-5,False Castle Rock,WV,WV,Central Appalachian Mountains,38.553138,-79.14252,WV
G10_LE-04,Lutzville,PA,PA,Central Appalachian Mountains,40.00842745,-78.43550965,PA
G11_FCR-13,False Castle Rock,WV,WV,Central Appalachian Mountains,38.553138,-79.14252,WV
G11_LE-13,Lutzville,PA,PA,Central Appalachian Mountains,40.00842745,-78.43550965,PA
G12_PH-6,Powers Hollow,WV,WV,Central Appalachian Mountains,37.281763,-81.33027,WV
H01_SC-08,Saint Clairesville,PA,PA,Central Appalachian Mountains,40.155985,-78.510515,PA
H01_SELU-01,SELU,VA,VA,Central Appalachian Mountains,37.050129,-80.333659,VA
H02_SELU-09,SELU,VA,VA,Central Appalachian Mountains,37.050129,-80.333659,VA
H02_SP-01,Shawnee State Park,PA,PA,Central Appalachian Mountains,40.0341,-78.6343,PA
H03_KM-7,Knobbs Mountain,VA,VA,Central Appalachian Mountains,38.47285,-78.174912,VA
H03_SP-09,Shawnee State Park,PA,PA,Central Appalachian Mountains,40.0341,-78.6343,PA
H04_KM-15,Knobbs Mountain,VA,VA,Central Appalachian Mountains,38.47285,-78.174912,VA
H04_TC-AC-2,Town Creek,MD,MD,Central Appalachian Mountains,39.58903,-78.56191,MD
H05_BR-08,Blue Rock,WV,WV,Central Appalachian Mountains,38.555584,-79.131435,WV
H06_BF-P1-04,Brush Creek Falls 1,WV,WV,Central Appalachian Mountains,37.281763,-81.33027,WV
H06_BR-16,Blue Rock,WV,WV,Central Appalachian Mountains,38.555584,-79.131435,WV
H07_SH-08,Smoke Hole,WV,WV,Central Appalachian Mountains,38.545451,-79.141416,WV
H08_SH-15,Smoke Hole,WV,WV,Central Appalachian Mountains,38.545451,-79.141416,WV
H08_SLR-1-B,Sweet Lilly Ridge,KY,KY,Interior Low Plateau,36.93829774,-84.56717353,KY
H09_CC-1-E,Carter Caves,KY,KY,Interior Low Plateau,38.22027,-83.07409,KY
H09_PIN-08,The Pinnacle,VA,VA,Central Appalachian Mountains,36.575016,-82.3547,VA
H10_FCR-6,False Castle Rock,WV,WV,Central Appalachian Mountains,38.553138,-79.14252,WV
H10_LE-05,Lutzville,PA,PA,Central Appalachian Mountains,40.00842745,-78.43550965,PA
H11_FCR-14,False Castle Rock,WV,WV,Central Appalachian Mountains,38.553138,-79.14252,WV
H12_PH-7,Powers Hollow,WV,WV,Central Appalachian Mountains,37.281763,-81.33027,WV
